game_name_id,platform,esrb,singleplayer,multyplayer,coop,price,ign_rating,campaign_duration,is_popular,char_customization,world_size,world_diversity,graphics,period,modding,competitive,genre,type,optimization
Battlefield: Bad Company 2,XBOX,mature,50,50,50,80,89,40,0,20,70,80,65,2010-sad,50,50,war,shooter,96
Battlefield 3,PC,mature,50,50,50,90,90,75,50,50,80,100,75,2010-sad,50,50,war,shooter,93
Battlefield 3,PS,mature,50,50,50,90,90,75,50,50,80,100,75,2010-sad,50,50,war,shooter,93
Battlefield 3,XBOX,mature,50,50,50,90,90,75,50,50,80,100,75,2010-sad,50,50,war,shooter,93
Battlefield 4,PC,mature,50,50,50,85,80,25,50,75,85,100,80,2010-sad,0,50,war,shooter,94
Battlefield 4,PS,mature,50,50,50,85,80,25,50,75,85,100,80,2010-sad,0,50,war,shooter,94
Battlefield 4,XBOX,mature,50,50,50,85,80,25,50,75,85,100,80,2010-sad,0,50,war,shooter,94
Battlefield Hardline,PC,mature,50,50,0,85,80,50,0,80,70,100,80,2010-sad,0,50,crime,shooter,88
Battlefield Hardline,PS,mature,50,50,0,85,80,50,0,80,70,100,80,2010-sad,0,50,crime,shooter,88
Battlefield Hardline,XBOX,mature,50,50,0,85,80,50,0,80,70,100,80,2010-sad,0,50,crime,shooter,88
Battlefield 1,PC,mature,50,50,0,85,90,50,50,85,80,100,90,2010-sad,0,50,war,shooter,89
Battlefield 1,PS,mature,50,50,0,85,90,50,50,85,80,100,90,2010-sad,0,50,war,shooter,89
Battlefield 1,XBOX,mature,50,50,0,85,90,50,50,85,80,100,90,2010-sad,0,50,war,shooter,89
Battlefield V,PC,mature,50,50,50,45,75,25,50,90,80,100,90,2010-sad,0,50,war,shooter,71
Battlefield V,PS,mature,50,50,50,45,75,25,50,90,80,100,90,2010-sad,0,50,war,shooter,71
Battlefield V,XBOX,mature,50,50,50,45,75,25,50,90,80,100,90,2010-sad,0,50,war,shooter,71
Star Wars: Battlefront,PC,teen,50,50,50,55,80,50,50,70,70,100,90,2010-sad,0,50,action,shooter,88
Star Wars: Battlefront,PS,teen,50,50,50,55,80,50,50,70,70,100,90,2010-sad,0,50,action,shooter,88
Star Wars: Battlefront,XBOX,teen,50,50,50,55,80,50,50,70,70,100,90,2010-sad,0,50,action,shooter,88
Star Wars: Battlefront,Nintendo,teen,50,50,50,55,80,50,50,70,70,100,90,2010-sad,0,50,action,shooter,88
Star Wars: Battlefront II,PC,teen,50,50,50,45,65,50,50,80,80,100,100,2010-sad,0,50,action,shooter,79
Star Wars: Battlefront II,PS,teen,50,50,50,45,65,50,50,80,80,100,100,2010-sad,0,50,action,shooter,79
Star Wars: Battlefront II,XBOX,teen,50,50,50,45,65,50,50,80,80,100,100,2010-sad,0,50,action,shooter,79
PlayerUnknown's Battlegrounds,PC,teen,0,50,50,70,95,1,50,90,85,100,60,2010-sad,0,50,action,battle royale,30
PlayerUnknown's Battlegrounds,PS,teen,0,50,50,70,95,1,50,90,85,100,60,2010-sad,0,50,action,battle royale,30
PlayerUnknown's Battlegrounds,XBOX,teen,0,50,50,70,95,1,50,90,85,100,60,2010-sad,0,50,action,battle royale,30
Call of Duty,PC,teen,50,50,0,60,93,50,0,1,30,40,25,2000s,50,0,war,shooter,100
Call of Duty,PS,teen,50,50,0,60,93,50,0,1,30,40,25,2000s,50,0,war,shooter,100
Call of Duty,XBOX,teen,50,50,0,60,93,50,0,1,30,40,25,2000s,50,0,war,shooter,100
Metro 2033,PC,mature,50,0,0,80,75,70,0,20,30,35,80,2010-sad,0,0,adventure,shooter,78
Metro 2033,PS,mature,50,0,0,80,75,70,0,20,30,35,80,2010-sad,0,0,adventure,shooter,78
Metro 2033,XBOX,mature,50,0,0,80,75,70,0,20,30,35,80,2010-sad,0,0,adventure,shooter,78
Metro Last Light,PC,mature,50,0,0,80,72,74,0,20,35,40,90,2010-sad,0,0,adventure,shooter,89
Metro Last Light,PS,mature,50,0,0,80,72,74,0,20,35,40,90,2010-sad,0,0,adventure,shooter,85
Metro Last Light,XBOX,mature,50,0,0,80,72,74,0,20,35,40,90,2010-sad,0,0,adventure,shooter,85
Metro Exodus,PC,mature,50,0,0,60,85,88,50,30,70,80,100,2010-sad,0,0,action,shooter,50
Metro Exodus,PS,mature,50,0,0,60,85,88,50,30,70,80,100,2010-sad,0,0,action,shooter,70
Metro Exodus,XBOX,mature,50,0,0,60,85,88,50,30,70,80,100,2010-sad,0,0,action,shooter,70
Tomb Raider 1,PS,teen,50,0,0,45,93,82,0,1,35,35,5,90s,0,0,adventure,shooter,100
Tomb Raider 2,PS,teen,50,0,0,50,80,85,0,1,40,60,5,90s,0,0,adventure,shooter,100
Tomb Raider 3,PS,teen,50,0,0,50,80,88,0,1,45,65,5,90s,0,0,adventure,shooter,100
